54 (0.0465116)
47 25 16 (0.0465116)
47 25 0 (0.0465116)
47 16 0 (0.0465116)
47 1 0 (0.0465116)
66 18 15 (0.0465116)
66 18 17 (0.0465116)
66 18 20 (0.0465116)
66 18 1 (0.0465116)
66 15 17 (0.0465116)
66 15 20 (0.0465116)
66 15 1 (0.0465116)
66 17 20 (0.0465116)
66 17 1 (0.0465116)
66 20 1 (0.0465116)
57 26 46 (0.0465116)
57 26 35 (0.0465116)
57 26 31 (0.0465116)
57 26 10 (0.0465116)
57 26 0 (0.0465116)
57 46 35 (0.0465116)
57 46 31 (0.0465116)
57 46 1 (0.0465116)
57 46 10 (0.0465116)
57 46 0 (0.0697674)
57 35 31 (0.0465116)
57 35 10 (0.0465116)
57 35 0 (0.0465116)
57 31 10 (0.0465116)
57 31 0 (0.0465116)
57 1 0 (0.0465116)
57 10 0 (0.0465116)
51 16 10 (0.0465116)
51 16 0 (0.0465116)
51 2 10 (0.0465116)
51 2 0 (0.0465116)
51 10 0 (0.0697674)
49 22 39 (0.0465116)
49 22 32 (0.0465116)
49 22 26 (0.0465116)
49 22 46 (0.0465116)
49 22 35 (0.0465116)
49 22 31 (0.0465116)
49 22 28 (0.0465116)
49 22 25 (0.0465116)
49 22 16 (0.0465116)
49 22 10 (0.0465116)
49 22 0 (0.0465116)
49 39 32 (0.0465116)
49 39 26 (0.0465116)
49 39 46 (0.0465116)
49 39 35 (0.0465116)
49 39 31 (0.0465116)
49 39 28 (0.0465116)
49 39 25 (0.0465116)
49 39 16 (0.0465116)
49 39 10 (0.0465116)
49 39 0 (0.0465116)
49 32 26 (0.0465116)
49 32 46 (0.0465116)
49 32 35 (0.0465116)
49 32 31 (0.0465116)
49 32 28 (0.0465116)
49 32 25 (0.0465116)
49 32 16 (0.0465116)
49 32 10 (0.0465116)
49 32 0 (0.0465116)
49 26 46 (0.0465116)
49 26 35 (0.0465116)
49 26 31 (0.0465116)
49 26 28 (0.0465116)
49 26 25 (0.0465116)
49 26 16 (0.0465116)
49 26 10 (0.0465116)
49 26 0 (0.0465116)
49 46 35 (0.0465116)
49 46 31 (0.0465116)
49 46 28 (0.0465116)
49 46 25 (0.0465116)
49 46 16 (0.0465116)
49 46 10 (0.0465116)
49 46 0 (0.0465116)
49 35 31 (0.0465116)
49 35 28 (0.0465116)
49 35 25 (0.0465116)
49 35 16 (0.0465116)
49 35 10 (0.0465116)
49 35 0 (0.0465116)
49 31 28 (0.0465116)
49 31 25 (0.0465116)
49 31 16 (0.0465116)
49 31 10 (0.0465116)
49 31 0 (0.0465116)
49 28 25 (0.0465116)
49 28 16 (0.0465116)
49 28 10 (0.0465116)
49 28 0 (0.0465116)
49 25 16 (0.0697674)
49 25 1 (0.0465116)
49 25 10 (0.0465116)
49 25 0 (0.0697674)
49 16 1 (0.0465116)
49 16 10 (0.0465116)
49 16 0 (0.0697674)
49 1 0 (0.0465116)
49 10 0 (0.0465116)
48 28 2 (0.0465116)
48 28 0 (0.0465116)
48 16 0 (0.0465116)
48 2 0 (0.0465116)
22 39 32 (0.0465116)
22 39 26 (0.0465116)
22 39 46 (0.0465116)
22 39 35 (0.0465116)
22 39 31 (0.0465116)
22 39 28 (0.0465116)
22 39 25 (0.0465116)
22 39 16 (0.0465116)
22 39 10 (0.0465116)
22 39 0 (0.0465116)
22 23 27 (0.0465116)
22 23 26 (0.0465116)
22 23 31 (0.0465116)
22 23 28 (0.0465116)
22 23 25 (0.0465116)
22 23 16 (0.0465116)
22 23 10 (0.0465116)
22 23 0 (0.0465116)
22 32 26 (0.0465116)
22 32 46 (0.0465116)
22 32 35 (0.0465116)
22 32 31 (0.0465116)
22 32 28 (0.0465116)
22 32 25 (0.0465116)
22 32 16 (0.0465116)
